TID,Tweet,Subjects,Action/Phrases,Category
1496737903631904774,"Russian President declared war. On the record. Should I play the video of your President Ambassador, shall I do it? Or will you confirm it? It’s the responsibility of this body to stop the war. I call on everyone to do everything possible to stop the war",['everyone'],['stop the war'],CTA
1496966148088291335,"Dear Black people, Don’t let Starr convince you to defend the US/NATO aggressions that caused this conflict. US/NATO turned Libya into a hell scape for Black people and they’re at fault in Ukraine too. There are neo-Nazis in Ukraine government. Fact. @terrelljstarr #NotoNATO",['Black people'],"['Don’t let Starr convince you to defend the US/NATO aggressions', 'NotoNATO']",CTA
1497463617767227395,"Kyiv, our splendid, peaceful city, survived another night under attacks by Russian ground forces, missiles. One of them has hit a residential apartment in Kyiv. I demand the world: fully isolate Russia, expel ambassadors, oil embargo, ruin its economy. Stop Russian war criminals!",['world'],"['isolate Russia', 'expel ambassadors', 'oil embargo', 'ruin its economy', 'Stop Russian war criminals']",CTA
1497479069658664963,"Today, a Russian missile hit an apartment building in #Kyiv. Over the past 2 days, hospitals, kindergartens and orphanages in #Ukrainian cities have been shelled. We demand from the world a decisive response and isolation of Russia for its criminal acts. #StopRussia",['world'],['a decisive response and isolation of Russia for its criminal acts'],CTA
1498243321659109376,"Cut all business ties with Russia. All of them. Making business with Russia today means financing aggression, war crimes, disinformation, cyberattacks and personally the Hitler of the 21st century named Vladimir Putin.",[],['Cut all business ties with Russia'],CTA
1498581719422746626,Over 60 km of Russian tanks and other military techs are heading to Kyiv right now. They want Ukraine's extinction! The world must stop Putin and his genocide of Ukrainian people.,['world'],['stop Putin and his genocide of Ukrainian people'],CTA
1498816723713241090,"We call on all UN member states to defend the principles of the UN charter and vote in favour of the resolution on #Ukraine tomorrow at the UN #GeneralAssembly, proudly co-sponsored by Belgium. #UnitingForPeace #WeStandWithUkraine 🇧🇪🇺🇦🇺🇳",['UN member states'],"['defend the principles of the UN charter', 'vote in favour of the resolution on #Ukraine']",CTA
1499302851339866113,This is a true People’s War for Ukraine. Putin has no chance of winning it. On this photo civilians block Russian invaders in Energodar yesterday. One of hundreds of such photos and videos. We need partners to help Ukraine defend itself. Especially in the air. Close the sky now!,['partners'],"['help Ukraine defend itself', 'Close the sky now']",CTA
1499350866058522627,"Anti-war shopping: @ whatever shop u are demand clear answer from owner or manager if item u intend to purchase made in Russia, designed in Russia, supply chained in Russia or by Russian owned or controlled entity! Don’t finance war! Don’t consume or put on blood stained goods!",[],"['Don’t finance war', 'Don’t consume or put on blood stained goods']",CTA
1499369611829075970,"JOIN THE INTERNATIONAL LEGION OF TERRITORIAL DEFENSE FORCES OF UKRAINE! If your citizenship other than Ukrainian, but you are standing with Ukraine against Russian invasion",['you'],['JOIN THE INTERNATIONAL LEGION OF TERRITORIAL DEFENSE FORCES OF UKRAINE'],CTA
1499638114368868354,"#Zaporizhzhia #nuclearpowerplant is much more powerful than the one in #Chornobyl. It is the biggest in Europe! No other state, except Russia, has ever fired at NPPs. The world must act now to stop RU troops & prevent world's nuclear catastrophe. #Energodar #StandWithUkraine️",['world'],"['act now to stop RU troops', ""prevent world's nuclear catastrophe""]",CTA
1499846634422915079,"This is a photo of School 134, Kharkiv after so called ""denazification"". We ask educational platforms for free access to all materials and online courses for all educational institutions in Ukraine. We need to educate our children despite working on Russia to fail",['educational platforms'],['free access to all materials and online courses for all educational institutions in Ukraine'],CTA
1500205925596073985,"Met with my U.S. counterpart and friend @SecBlinken at the Ukrainian-Polish border. We held talks on further deliveries of necessary weapons for Ukraine, ways to ensure the efficiency of sanctions and increase pressure. Putin must stop his meaningless and barbaric war on Ukraine.",['Putin'],['stop his meaningless and barbaric war on Ukraine'],CTA
1500518858263830532,"This horrific 500-kg Russian bomb fell on a residential building in Chernihiv and didn’t explode. Many other did, killing innocent men, women and children. Help us protect our people from Russian barbarians! Help us close the sky. Provide us with combat aircraft. Do something!",[],"['protect our people from Russian barbarians', 'close the sky', 'Provide us with combat aircraft']",CTA
1501120119338147848,"Russian money is bloody! It helps Russian missiles attack dwelling houses, kindergartens and hospitals in Ukraine and kill civilians! @UnionPay_Intl, stop working with blood money, stop your services in Russia",['UnionPay_Intl'],"['stop working with blood money', 'stop your services in Russia']",CTA
1501712438781165571,"How is this cruelty possible? People, don't stay silent! You are witnessing it. You can't just stay aside. We need help. Stand with us. #StandWithUkraine",['People'],"[""don't stay silent"", 'Stand with us']",CTA
1502945209159761923,"Today, Russian war criminals abducted another democratically elected Ukrainian mayor, head of Dniprorudne Yevhen Matveyev. Getting zero local support, invaders turn to terror. I call on all states & international organizations to stop Russian terror against Ukraine and democracy.","['states', 'international organizations']",['stop Russian terror against Ukraine and democracy'],CTA
1509450462034022401,"Help deprive 🇷🇺 aggressor of its assets 🛳✈️🏘🏝️🏎️ 👉 everyone can submit information that will help in search, seizure, confiscation of 🇷🇺 assets. #StopRussianAgression #StandWithUkraine️",['everyone'],"['deprive 🇷🇺 aggressor of its assets', 'submit information that will help in search, seizure, confiscation of 🇷🇺 assets']",CTA
1509887323953115149,"Disconnect from AT&T they continue to support ""Cop City"" in Atlanta a massive urban warfare training center aimed at the movement and Black Communities that will deforest hundreds of acres of land. #StopCopCity",[],['Disconnect from AT&T'],CTA
1510912029044920323,"We continue to find out the horrors Russian troops left in Bucha. USA, give Ukraine a chance to stop Russian aggression. Military support we need the most: heavy artillery (152mm; 155mm), armored vehicles, tanks, military trucks, long-range anti-aircraft systems.",['USA'],"['give Ukraine a chance to stop Russian aggression', 'Military support']",CTA
1512077780703342596,My Norwegian counterpart @AHuitfeldt and I discussed current frontline developments and ways to put an end to Russia’s barbaric aggression. Humanitarian assistance needs to step up to alleviate the human suffering. Russian war criminals must and will be brought to justice.,[],"['step up to alleviate the human suffering', 'war criminals must and will be brought to justice']",CTA
1512313165874348035,Stop buying Russian energy sources! Stop sponsoring #Russian war crimes in #Ukraine ! #StandWithUkraine #BuchaMassacre #StopRussianAgression,[],"['Stop buying Russian energy sources', 'Stop sponsoring #Russian war crimes']",CTA
1517572067125825536,This is Maryna. She is one of 386 🇺🇦 children injured by russian aggression. 208 more have been killed by russian war criminals. Children are the future which we are now fighting for with our lives. Give us an opportunity protect it. Close the sky! #ArmUkraineNow,[],['Close the sky'],CTA
